stage,grid,family,prior,kind,arm,split,horizon,n_seeds,n_trajectories,mean_nmse,ci95_low,ci95_high,normalized_rmse,mean_training_validation_seconds,fixed_choice_setup_train_bank_seconds,median_inference_ms_per_step
development,32,advection_diffusion,coefficient,fno,iid,test,64,6,64,0.004944372244867633,0.001521846932532761,0.011513022244369854,0.07031623030899505,42.15209199495924,43.51371406352458,1.2630178360268474
development,32,advection_diffusion,coefficient,fno,iid,test,96,6,64,0.008634919838500272,0.002205820856279405,0.01924491593767405,0.09292426937296991,42.15209199495924,43.51371406352458,1.2630178360268474
development,32,advection_diffusion,coefficient,fno,iid,ood,64,6,64,0.05291497928719752,0.023840921915010523,0.09827240165473225,0.230032561362946,42.15209199495924,43.51371406352458,1.2630178360268474
development,32,advection_diffusion,coefficient,fno,iid,ood,96,6,64,0.11304923614192756,0.038316730313367534,0.24393182416625384,0.33622795264809197,42.15209199495924,43.51371406352458,1.2630178360268474
development,32,advection_diffusion,coefficient,fno,none,test,64,6,64,0.0003369979012111661,0.00025100831029209496,0.00044618472975495484,0.018357502586440404,24.847697846746694,24.881939032968756,1.2434787931852043
development,32,advection_diffusion,coefficient,fno,none,test,96,6,64,0.0004868690648330344,0.0003435043169037453,0.0006810882448659843,0.022065109671901346,24.847697846746694,24.881939032968756,1.2434787931852043
development,32,advection_diffusion,coefficient,fno,none,ood,64,6,64,0.04972419711119871,0.027791817564956665,0.07253933384368058,0.22298923093099968,24.847697846746694,24.881939032968756,1.2434787931852043
development,32,advection_diffusion,coefficient,fno,none,ood,96,6,64,0.07315159807895903,0.04121254196957056,0.10630082190849724,0.2704655210539026,24.847697846746694,24.881939032968756,1.2434787931852043
development,32,advection_diffusion,coefficient,fno,response_matched,test,64,6,64,0.002909496021394032,0.0014362081500335017,0.004713008432748326,0.05393974435788542,41.94662354762355,43.3085017791794,1.2301050242967904
development,32,advection_diffusion,coefficient,fno,response_matched,test,96,6,64,0.004695649061099541,0.002161271568262226,0.007966813197474134,0.06852480617338177,41.94662354762355,43.3085017791794,1.2301050242967904
development,32,advection_diffusion,coefficient,fno,response_matched,ood,64,6,64,0.047449007298000855,0.025689006085070364,0.07484655939196401,0.21782793048183893,41.94662354762355,43.3085017791794,1.2301050242967904
development,32,advection_diffusion,coefficient,fno,response_matched,ood,96,6,64,0.07991565999880841,0.03850984278896926,0.13766913914827378,0.2826935796915247,41.94662354762355,43.3085017791794,1.2301050242967904
development,32,advection_diffusion,coefficient,fno,smooth,test,64,6,64,0.0026457905739177487,0.0020094119545734823,0.0034396469394905914,0.051437248895306875,42.259653414289154,43.62127066155275,1.243226311635226
development,32,advection_diffusion,coefficient,fno,smooth,test,96,6,64,0.004040881321821715,0.0030881414655188066,0.005160394563982175,0.0635679268328118,42.259653414289154,43.62127066155275,1.243226311635226
development,32,advection_diffusion,coefficient,fno,smooth,ood,64,6,64,0.037418212140607005,0.01847796344672164,0.0583120816155371,0.19343787669587104,42.259653414289154,43.62127066155275,1.243226311635226
development,32,advection_diffusion,coefficient,fno,smooth,ood,96,6,64,0.05680942181426413,0.027872056795154008,0.08952020446932152,0.23834727146385404,42.259653414289154,43.62127066155275,1.243226311635226
development,32,advection_diffusion,coefficient,looped,iid,test,64,6,64,0.022516218616878508,0.007157049241620152,0.05383846715634203,0.1500540523174183,70.35288086471458,71.7188390319546,1.5433653490617871
development,32,advection_diffusion,coefficient,looped,iid,test,96,6,64,0.5441895854204434,0.010876357124211262,1.7918414790047241,0.7376920668005339,70.35288086471458,71.7188390319546,1.5433653490617871
development,32,advection_diffusion,coefficient,looped,iid,ood,64,6,64,12.174830416810712,1.842359599020923,27.93989831283483,3.4892449637150316,70.35288086471458,71.7188390319546,1.5433653490617871
development,32,advection_diffusion,coefficient,looped,iid,ood,96,6,64,32.010143730208995,2.741254692716097,75.86001132264774,5.657750766003129,70.35288086471458,71.7188390319546,1.5433653490617871
development,32,advection_diffusion,coefficient,looped,none,test,64,6,64,0.12916381224012002,0.0034692024127228344,0.42287877379152977,0.3593936730663466,39.358808988860496,39.39760175145542,1.5390768297947943
development,32,advection_diffusion,coefficient,looped,none,test,96,6,64,4.02097421098805,0.005080249033225614,12.784580788745197,2.00523669699815,39.358808988860496,39.39760175145542,1.5390768297947943
development,32,advection_diffusion,coefficient,looped,none,ood,64,6,64,21.733185064308703,1.4356230655925228,46.078414571918444,4.661886427650153,39.358808988860496,39.39760175145542,1.5390768297947943
development,32,advection_diffusion,coefficient,looped,none,ood,96,6,64,50.43172309530607,2.0829385114415317,112.24794140115904,7.101529630671555,39.358808988860496,39.39760175145542,1.5390768297947943
development,32,advection_diffusion,coefficient,looped,response_matched,test,64,6,64,0.02188734691323857,0.007707506825086682,0.05734866919018519,0.1479437288743209,70.26036299555562,71.62623201667641,1.53994660358876
development,32,advection_diffusion,coefficient,looped,response_matched,test,96,6,64,0.6124283653209514,0.010801347490401958,2.0499881315564217,0.7825780250690351,70.26036299555562,71.62623201667641,1.53994660358876
development,32,advection_diffusion,coefficient,looped,response_matched,ood,64,6,64,9.180421777300467,1.7791097163428113,22.734864672683372,3.029921084335443,70.26036299555562,71.62623201667641,1.53994660358876
development,32,advection_diffusion,coefficient,looped,response_matched,ood,96,6,64,24.53624236379753,2.5711075346500603,61.277859378251094,4.953407146984541,70.26036299555562,71.62623201667641,1.53994660358876
development,32,advection_diffusion,coefficient,looped,smooth,test,64,6,64,0.6154627709056067,0.011110063147443784,1.647079560908771,0.7845143535370189,70.07274281202506,71.43901466329892,1.5425625606440008
development,32,advection_diffusion,coefficient,looped,smooth,test,96,6,64,6.466729805571988,0.018335441671096464,18.68898834471695,2.542976564101995,70.07274281202506,71.43901466329892,1.5425625606440008
development,32,advection_diffusion,coefficient,looped,smooth,ood,64,6,64,23.77547079901652,2.845800264577952,53.84434265103278,4.876009720972315,70.07274281202506,71.43901466329892,1.5425625606440008
development,32,advection_diffusion,coefficient,looped,smooth,ood,96,6,64,51.17059353386508,4.4322308257116285,118.24787834196296,7.153362393578637,70.07274281202506,71.43901466329892,1.5425625606440008
development,32,advection_diffusion,coefficient,transformer,iid,test,64,6,64,0.004330061106250153,0.003485630914565373,0.0054205773941000054,0.0658031998177152,72.77893490980689,74.14889250090346,1.5341021004132926
