stage,grid,family,prior,kind,arm,n_seeds,parameter_count,mean_training_validation_seconds,mean_setup_plus_training_plus_bank_seconds,median_inference_ms_per_step,min_inference_ms,max_inference_ms,latency_scope,cost_scope
development,32,advection_diffusion,coefficient,fno,iid,6,209985,42.15209199495924,43.51371406352458,1.2630178360268474,1.2466285144910216,1.3124844525009394,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,fno,none,6,209985,24.847697846746694,24.881939032968756,1.2434787931852043,1.2287385296076536,1.2746815802529454,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,fno,response_matched,6,209985,41.94662354762355,43.3085017791794,1.2301050242967904,1.2273780535906553,1.3134910492226481,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,fno,smooth,6,209985,42.259653414289154,43.62127066155275,1.243226311635226,1.2351800920441747,1.2880294350907207,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,looped,iid,6,34049,70.35288086471458,71.7188390319546,1.5433653490617871,1.5233305981382728,1.5712035354226828,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,looped,none,6,34049,39.358808988860496,39.39760175145542,1.5390768297947943,1.5259395819157362,1.610389119014144,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,looped,response_matched,6,34049,70.26036299555562,71.62623201667641,1.53994660358876,1.5257145510986447,1.5575115568935871,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,looped,smooth,6,34049,70.07274281202506,71.43901466329892,1.5425625606440008,1.5384300611913204,1.5802905894815922,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,transformer,iid,6,100993,72.77893490980689,74.14889250090346,1.5341021004132926,1.5307550551369786,1.5366210602223873,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,transformer,none,6,100993,42.78361937085477,42.82592737100398,1.5332015813328326,1.5311040915548801,1.537341601215303,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,transformer,response_matched,6,100993,73.23333207556668,74.6032719433618,1.5334005933254957,1.51515060570091,1.5378570416942239,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,coefficient,transformer,smooth,6,100993,74.02974590542726,75.3994480384669,1.5343170729465783,1.53115454595536,1.5365565894171596,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,correct,fno,iid,6,209985,41.913991620686524,43.329350356090195,1.26599483191967,1.2418115511536598,1.2897975509986281,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,correct,fno,none,6,209985,25.358475003701944,25.392690100939944,1.25926632899791,1.247180555947125,1.2786826118826866,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,correct,fno,response_matched,6,209985,41.65945835178718,43.07475024772187,1.2468260945752263,1.244359603151679,1.3903521001338959,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,correct,fno,smooth,6,209985,41.77893476296837,43.19431246646369,1.2501598452217877,1.2450935551896691,1.278586545959115,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,correct,looped,iid,6,34049,69.99603867034118,71.41556914810401,1.5392183559015393,1.5259560896083713,1.542094093747437,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,correct,looped,none,6,34049,39.04703431444553,39.085240431207545,1.5399115975014865,1.5357850585132837,1.5459411079064012,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,correct,looped,response_matched,6,34049,69.97939420336236,71.3990755409468,1.5375075512565672,1.5370815992355347,1.5432100975885987,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,correct,looped,smooth,6,34049,69.93041624121058,71.35016499886599,1.5397191047668457,1.535919588059187,1.5476101078093052,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,correct,transformer,iid,6,100993,72.33967783891906,73.76297706109472,1.5483743511140347,1.5348190907388926,1.578280096873641,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
development,32,advection_diffusion,correct,transformer,none,6,100993,42.67953908645237,42.722266539620854,1.5533850877545774,1.5474710380658507,1.5915530966594815,"Measured batch one; 5 warmups, one block of 20 forwards, synchronized CUDA; input transfers excluded.","Fixed-choice route; common reference-data generation, evaluation, and development search excluded. Shared bank construction includes every augmentation arm."
