stage,grid,family,prior,split,horizon,candidate_kind,candidate_arm,baseline_kind,baseline_arm,candidate_mean_nmse,baseline_mean_nmse,difference_nmse,difference_ci95_low,difference_ci95_high,ratio_of_arithmetic_means,ratio_ci95_low,ratio_ci95_high,interpretation,scope
development,32,advection_diffusion,coefficient,ood,64,fno,iid,mechanistic,,0.05291497928719752,0.5686829936930753,-0.5157680144058778,-0.6325832071642048,-0.4082731320812916,0.09304828854396222,0.04305095939509436,0.17241469701960546,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,fno,iid,transformer,iid,0.05291497928719752,1.1793981179517015,-1.126483138664504,-1.5552209974382494,-0.7130276199676958,0.04486608761009103,0.01696768554429558,0.10962075885249364,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,fno,iid,mechanistic,,0.11304923614192756,0.7019240169255561,-0.5888747807836285,-0.7319861807576872,-0.4556166927291239,0.16105623032687486,0.05788233674262316,0.3194048242630124,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,96,fno,iid,transformer,iid,0.11304923614192756,1.5023045689203733,-1.3892553327784458,-2.027965776392015,-0.7618038331527085,0.07525054405124393,0.021325083350867576,0.1944685795955081,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,fno,iid,mechanistic,,0.004944372244867633,0.5313244237183632,-0.5263800514734955,-0.6309147115680735,-0.4261032276580314,0.009305749979015598,0.00293184704515022,0.021830915850001156,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,64,fno,iid,transformer,iid,0.004944372244867633,0.004330061106250153,0.0006143111386174797,-0.0031199767021886033,0.007462977463126745,1.1418712400457265,0.3360035074635957,2.8339784979893126,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,fno,iid,mechanistic,,0.008634919838500272,0.7447897696842862,-0.7361548498457859,-0.8782061797685946,-0.5997962972294922,0.011593768053716131,0.0030479585311720702,0.026377966098048048,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,test,96,fno,iid,transformer,iid,0.008634919838500272,0.005758860334432934,0.0028760595040673385,-0.0038636913443445813,0.01366970898001053,1.4994146996187814,0.3781559628497866,3.6310879062059045,interval_includes_zero,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,fno,none,mechanistic,,0.04972419711119871,0.5686829936930753,-0.5189587965818766,-0.6307222824371873,-0.4185378265974182,0.08743746105063839,0.04897066672179986,0.12832476037071952,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
development,32,advection_diffusion,coefficient,ood,64,fno,none,transformer,none,0.04972419711119871,1.1576989852044715,-1.1079747880932727,-1.4911188353169862,-0.8317723356692723,0.04295088597872138,0.030010221565640156,0.05472219752475824,lower_candidate_error,"Post hoc; pointwise 95% paired bootstrap, no multiplicity adjustment or confirmatory decision."
