stage,grid,family,prior,kind,arm,split,horizon,n_seeds,n_trajectories,mean_nmse,ci95_low,ci95_high,normalized_rmse,mean_training_validation_seconds,fixed_choice_setup_train_bank_seconds,median_inference_ms_per_step
development,32,burgers,coefficient,fno,none,test,64,6,64,0.0006509336796864854,0.000425250135304933,0.0009387957173597811,0.02551340196223321,25.063914816748973,25.097965341992676,1.29736257949844
development,32,burgers,coefficient,fno,smooth,test,64,6,64,0.0005711963473191131,0.00038899516293196506,0.0007860478832979397,0.023899714377354244,41.6963123138994,44.783142329271264,1.2744765845127404
development,32,burgers,coefficient,looped,none,test,64,6,64,0.011035458482731861,0.007368886747672522,0.015904018193340395,0.10504979049351722,39.012222901297115,39.05039693089202,1.5649137669242918
development,32,burgers,coefficient,looped,smooth,test,64,6,64,0.010207495767216607,0.00715187061615731,0.014089323934930323,0.10103215214582241,69.4088247505327,72.49963433171312,1.5538573265075684
development,32,burgers,coefficient,transformer,none,test,64,6,64,0.006637938893562252,0.004161025349071872,0.00999280808839875,0.08147354720129873,43.58832743616464,43.630592009751126,1.5387109015136957
development,32,burgers,coefficient,transformer,smooth,test,64,6,64,0.006662913922609703,0.0044453044276099325,0.00958232147279014,0.0816266740876394,73.29967685625888,76.39466220947604,1.5381196630187333
development,32,burgers,correct,fno,none,test,64,6,64,0.0006018920915045993,0.000407255776249071,0.000818513615801058,0.024533489183249074,24.974350878891226,25.010247424710542,1.2510888278484344
development,32,burgers,correct,fno,smooth,test,64,6,64,0.00020412086126827636,0.00013238363309229408,0.0002980097433754242,0.014287087221273493,42.36106056052571,45.426626055579014,1.2773475958965719
development,32,burgers,correct,looped,none,test,64,6,64,0.011035485003383694,0.007368921985156077,0.015904042249369456,0.10504991672240246,39.26055950873221,39.29905022261664,1.5385346487164497
development,32,burgers,correct,looped,smooth,test,64,6,64,0.009705862691645806,0.006825713181827967,0.013407003885939052,0.09851833682947457,69.63273873203434,72.7024206748077,1.5413571847602725
development,32,burgers,correct,transformer,none,test,64,6,64,0.006638130040853433,0.004161000943040826,0.009993078849848697,0.08147472025636807,44.18545188956583,44.22919861793829,1.5535904210992157
