job_id,stage,family,prior,grid,split,horizon,n_trajectories,primary_horizon,method,mean_nmse,ci95_low,ci95_high,normalized_rmse,n_training_seeds,kind,arm,source,failed_trajectories,cap_affected_trajectories,nonfinite_steps,raw_mean_nmse,calibration_seconds_current_machine,display_family,mean_nmse_display,ci95_low_display,ci95_high_display
resolution_g64__wave__coefficient,resolution_g64,wave,coefficient,64,test,64,64,True,uncalibrated,0.41355079302842057,0.3672044279604677,0.4598251300452666,0.643079149894024,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,0.41355079302842057,0.0,Wave,0.414,0.367,0.46
resolution_g64__wave__coefficient,resolution_g64,wave,coefficient,64,test,64,64,True,calibrated,4.903911291722245e-12,4.226099626572945e-12,5.629143175098965e-12,2.2144776566319755e-06,0,physics_calibrated,,new_frozen_physics_evaluation,0,0,0,4.903911291722245e-12,1.4320250989985652,Wave,4.9e-12,4.23e-12,5.63e-12
resolution_g64__wave__coefficient,resolution_g64,wave,coefficient,64,test,64,64,True,validation_best_neural,0.0003730382182466365,0.00031465684348591194,0.0004356620513470605,0.01931419732338459,4,validation_best_neural,,frozen_validation_selection,,,,,,Wave,0.000373,0.000315,0.000436
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,test,64,64,True,uncalibrated,0.6843452418565761,0.5546417560097769,0.8279995134635615,0.8272516194342421,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,0.6843452418565761,0.0,Advection–diffusion,0.684,0.555,0.828
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,test,64,64,True,calibrated,2.4621148923034074e-12,1.7588623958831215e-12,3.296134665381269e-12,1.5691127723345468e-06,0,physics_calibrated,,new_frozen_physics_evaluation,0,0,0,2.4621148923034074e-12,0.7696661519985355,Advection–diffusion,2.46e-12,1.76e-12,3.3e-12
resolution_g64__advection_diffusion__coefficient,resolution_g64,advection_diffusion,coefficient,64,test,64,64,True,validation_best_neural,0.000446428768592374,0.00034630926531045085,0.0005578032038663645,0.021128861033959546,4,validation_best_neural,,frozen_validation_selection,,,,,,Advection–diffusion,0.000446,0.000346,0.000558
resolution_g64__allen_cahn__coefficient,resolution_g64,allen_cahn,coefficient,64,test,64,64,True,uncalibrated,0.005892348846835205,0.0034916974009221668,0.010280149354081081,0.07676163655651959,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,0.005892348846835205,0.0,Allen–Cahn,0.00589,0.00349,0.0103
resolution_g64__allen_cahn__coefficient,resolution_g64,allen_cahn,coefficient,64,test,64,64,True,calibrated,4.459289287252943e-12,3.2073042006386516e-12,5.8633525772646165e-12,2.1117029353706318e-06,0,physics_calibrated,,new_frozen_physics_evaluation,0,0,0,4.459289287252943e-12,0.8907262700013234,Allen–Cahn,4.46e-12,3.21e-12,5.86e-12
resolution_g64__allen_cahn__coefficient,resolution_g64,allen_cahn,coefficient,64,test,64,64,True,validation_best_neural,0.000561304436022262,0.00039347969613751424,0.0007990817642992625,0.0236918643424755,4,validation_best_neural,,frozen_validation_selection,,,,,,Allen–Cahn,0.000561,0.000393,0.000799
development__burgers__coefficient,development,burgers,coefficient,32,test,64,64,True,uncalibrated,0.017123439811957963,0.012601883899255668,0.022484985329241185,0.13085656197515647,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,0.017123439811957963,0.0,Burgers,0.0171,0.0126,0.0225
development__burgers__coefficient,development,burgers,coefficient,32,test,64,64,True,calibrated,3.6164333757879106e-11,1.7757945036520484e-11,6.114400790820485e-11,6.01367888716043e-06,0,physics_calibrated,,new_frozen_physics_evaluation,0,0,0,3.6164333757879106e-11,0.7998858440005279,Burgers,3.62e-11,1.78e-11,6.11e-11
development__burgers__coefficient,development,burgers,coefficient,32,test,64,64,True,validation_best_neural,0.000520603293800368,0.00036725231932667143,0.0007056221947357293,0.022816732759103963,6,validation_best_neural,,frozen_validation_selection,,,,,,Burgers,0.000521,0.000367,0.000706
development__ks__coefficient,development,ks,coefficient,32,test,64,64,True,uncalibrated,0.586488938329353,0.5010385986641595,0.6766021137633672,0.7658256579204911,0,physics_uncalibrated,,new_frozen_physics_evaluation,0,0,0,0.586488938329353,0.0,Kuramoto–Sivashinsky,0.586,0.501,0.677
