job_id,stage,batch_size,block_ms_per_batch_step,calibration_multiplication_included,family,fitted_global_multiplier_count,grid,kind,max_ms_per_batch_step,median_ms_per_batch_step,min_ms_per_batch_step,parameter_count,parameter_count_convention,prior,timing_source,weights
development__advection_diffusion__coefficient,development,1,"[0.18798225, 0.19911655, 0.20508255, 0.2001536, 0.186804]",False,advection_diffusion,0,32,physics_uncalibrated,0.20508255,0.19911655,0.186804,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__advection_diffusion__coefficient,development,1,"[0.2139483, 0.1894345, 0.19987515, 0.1892692, 0.218705]",True,advection_diffusion,3,32,physics_calibrated,0.218705,0.19987515,0.1892692,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__advection_diffusion__coefficient,development,1,"[1.1023338, 1.08013885, 1.06697755, 1.0583952, 1.09315595]",False,advection_diffusion,0,32,transformer,1.1023338,1.08013885,1.0583952,100993,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__advection_diffusion__coefficient,development,1,"[1.1052241, 1.0900658, 1.11063775, 1.11859675, 1.1270785]",False,advection_diffusion,0,32,looped,1.1270785,1.11063775,1.0900658,34049,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__advection_diffusion__coefficient,development,1,"[0.63302925, 0.64751905, 0.6424304, 0.6506508, 0.65181405]",False,advection_diffusion,0,32,fno,0.65181405,0.64751905,0.63302925,209985,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__advection_diffusion__correct,development,1,"[0.2675355, 0.2251938, 0.2118192, 0.2188207, 0.19865785]",False,advection_diffusion,0,32,physics_uncalibrated,0.2675355,0.2188207,0.19865785,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__advection_diffusion__correct,development,1,"[0.26708135, 0.2594258, 0.2101592, 0.20368845, 0.20248915]",True,advection_diffusion,3,32,physics_calibrated,0.26708135,0.2101592,0.20248915,,,correct,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__advection_diffusion__correct,development,1,"[1.0847679, 1.23980225, 1.06694225, 1.0869713, 1.0884911]",False,advection_diffusion,0,32,transformer,1.23980225,1.0869713,1.06694225,100993,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__advection_diffusion__correct,development,1,"[1.1532936, 1.1188718, 1.0916073, 1.0838251, 1.1776217]",False,advection_diffusion,0,32,looped,1.1776217,1.1188718,1.0838251,34049,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__advection_diffusion__correct,development,1,"[0.63587015, 0.763367, 0.67163295, 0.68067105, 0.67247825]",False,advection_diffusion,0,32,fno,0.763367,0.67247825,0.63587015,209985,real scalar equivalents; complex neural weights count twice,correct,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__allen_cahn__coefficient,development,1,"[0.5758964, 0.53925375, 0.43788325, 0.4557166, 0.43693435]",False,allen_cahn,0,32,physics_uncalibrated,0.5758964,0.4557166,0.43693435,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__allen_cahn__coefficient,development,1,"[0.49573535, 0.4620917, 0.44907565, 0.44915775, 0.43647715]",True,allen_cahn,3,32,physics_calibrated,0.49573535,0.44915775,0.43647715,,,coefficient,fresh_matched_execution_benchmark,physical coefficients supplied per trajectory
development__allen_cahn__coefficient,development,1,"[1.07744545, 1.265901, 1.3246579, 1.10103695, 1.1150751]",False,allen_cahn,0,32,transformer,1.3246579,1.1150751,1.07744545,100993,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
development__allen_cahn__coefficient,development,1,"[1.0953519, 1.17394015, 1.1134702, 1.10391435, 1.1290251]",False,allen_cahn,0,32,looped,1.17394015,1.1134702,1.0953519,34049,real scalar equivalents; complex neural weights count twice,coefficient,fresh_matched_execution_benchmark,initialized; no checkpoint; no training
