job_id,stage,family,prior,grid,split,horizon,n_trajectories,primary_horizon,method,failed_trajectories,cap_affected_trajectories,nonfinite_steps,raw_mean_nmse
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,64,64,True,calibrated,0,0,0,3.5301689859694726e-12
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,64,64,True,uncalibrated,0,0,0,0.5313236820958451
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,64,64,True,persistence,0,0,0,1.9041640596724392
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,calibrated,0,0,0,5.904761124412951e-12
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,uncalibrated,0,0,0,0.744788770889888
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,test,96,64,False,persistence,0,0,0,1.7984063005017863
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,calibrated,0,0,0,2.6173987332513946e-12
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,uncalibrated,0,0,0,0.5686824071126146
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,64,64,True,persistence,0,0,0,1.4053722431665676
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,calibrated,0,0,0,4.070228281396189e-12
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,uncalibrated,0,0,0,0.7019233587782001
development__advection_diffusion__coefficient,development,advection_diffusion,coefficient,32,ood,96,64,False,persistence,0,0,0,1.380484518164716
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,64,64,True,calibrated,0,0,0,3.0629281019194087e-12
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,64,64,True,uncalibrated,0,0,0,3.0629281019194087e-12
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,64,64,True,persistence,0,0,0,1.9041640596724392
development__advection_diffusion__correct,development,advection_diffusion,correct,32,test,96,64,False,calibrated,0,0,0,5.086514745198562e-12
