family,prior,candidate,baseline,candidate_divergence_fraction,baseline_divergence_fraction,log_mse_ratio,adjusted_log_ci,reduction_percent,adjusted_reduction_ci_percent,ci_level,multiplicity,no_increased_divergence,status,conclusion
wave,correct,smooth,iid,0.0,0.0,-2.533284806249233,"[-3.0143794954497447, -2.174173862230555]",92.06022148734101,"[88.62979515629058, 95.09237219049808]",0.9979166666666667,24,True,GREEN,supported practical improvement
wave,correct,smooth,response_matched,0.0,0.0,-0.8408920794305773,"[-1.1364089735147451, -0.6292755288957007]",56.867442492105404,"[46.70222118214927, 67.90304350267904]",0.9979166666666667,24,True,GREEN,supported practical improvement
wave,correct,smooth,none,0.0,0.0,-0.4682003440226326,"[-0.5911806222080055, -0.351839871343374]",37.38719299252041,"[29.66072537055455, 44.63267801905925]",0.9979166666666667,24,True,GREEN,supported practical improvement
wave,coefficient,smooth,none,0.0,0.0,1.155372485857596,"[0.775595568912491, 1.4893565301492229]",-217.52059165807225,"[-343.4241300212521, -117.18852494095668]",0.9979166666666667,24,True,RED,supported practical harm
burgers,correct,smooth,iid,0.0,0.0,-0.16729493177676477,"[-0.3774700156804495, 0.01112324875942631]",15.404992301806686,"[-1.1185342103916973, 31.44062416615666]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
burgers,correct,smooth,response_matched,0.0,0.0,-0.34816881461479376,"[-0.7367491836354806, -0.0330794289646008]",29.40203135346412,"[3.253828794496705, 52.13325509967363]",0.9979166666666667,24,True,GREEN,supported practical improvement
burgers,correct,smooth,none,0.0,0.0,-0.43651026206415805,"[-0.7435563853486373, -0.11323666368242562]",35.37121343953537,"[10.706069119759187, 52.45798717524002]",0.9979166666666667,24,True,GREEN,supported practical improvement
burgers,coefficient,smooth,none,0.0,0.0,-0.03601743035642751,"[-0.3109493483614596, 0.25566039517139455]",3.537652039448036,"[-29.131411695735054, 26.724901003233647]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
ks,correct,smooth,iid,0.0,0.0,0.12510837930472601,"[-0.1939357524822971, 0.4085668180760034]",-13.327126956358404,"[-50.46597878711718, 17.628917605567686]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
ks,correct,smooth,response_matched,0.0,0.0,0.1379769073344791,"[-0.26970629073884433, 0.45426510610845366]",-14.79490407648587,"[-57.50154883597551, 23.63962611061442]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
ks,correct,smooth,none,0.0,0.0,-0.2819368002551727,"[-0.5332098153150391, -0.004463461616043986]",24.567864405612404,"[0.4453515175266709, 41.328131463616735]",0.9979166666666667,24,True,GREEN,supported practical improvement
ks,coefficient,smooth,none,0.0,0.0,0.0835542919346446,"[-0.3693218835079724, 0.4650028311431915]",-8.71442368545221,"[-59.20186961136131, 30.87971121712062]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
advection_diffusion,correct,smooth,iid,0.0,0.0,-0.04253545683532034,"[-0.40301131861086653, 0.6323976588787551]",4.16435153695307,"[-88.2117850230415, 33.16954649982205]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
advection_diffusion,correct,smooth,response_matched,0.0,0.0,-0.05361765185823745,"[-0.48556318299888446, 0.7250569380859747]",5.220557533140957,"[-106.48486651503077, 38.464945580581386]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
advection_diffusion,correct,smooth,none,0.0,0.0,-0.40721071689312205,"[-0.7059914222472011, -0.10944272514452538]",33.449605739738516,"[10.366649973634857, 50.638105322301556]",0.9979166666666667,24,True,GREEN,supported practical improvement
advection_diffusion,coefficient,smooth,none,0.0,0.0,1.5554746757620932,"[1.1047040951651153, 2.344015346321129]",-373.73346894966784,"[-942.300462326801, -201.83311978567608]",0.9979166666666667,24,True,RED,supported practical harm
allen_cahn,correct,smooth,iid,0.0,0.0,-0.1464937181038575,"[-0.7049222381584596, 0.2144408990929344]",13.626884181284925,"[-23.916888280530756, 50.585300145725085]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
allen_cahn,correct,smooth,response_matched,0.0,0.0,0.10472037670884868,"[-0.22775454063470352, 0.49118285178871673]",-11.040007321805255,"[-63.42481504843924, 20.368030002370475]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
allen_cahn,correct,smooth,none,0.0,0.0,-1.4002647885265127,"[-2.0324543302202294, -0.9141642766375988]",75.34683234610591,"[59.91485129016332, 86.89864243481608]",0.9979166666666667,24,True,GREEN,supported practical improvement
allen_cahn,coefficient,smooth,none,0.0,0.0,-1.401114459028294,"[-1.9269644436347906, -0.8875121876145328]",75.36777051890333,"[58.83213409078449, 85.44105265599168]",0.9979166666666667,24,True,GREEN,supported practical improvement
gray_scott,correct,smooth,iid,0.0,0.0,-0.062375819420227484,"[-0.24276705498318543, 0.134130418891366]",6.047027308418018,"[-14.354194939303767, 21.554577280721652]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
gray_scott,correct,smooth,response_matched,0.0,0.0,-0.13544406432449918,"[-0.2746657978032847, 0.021663358330562623]",12.667198824545823,"[-2.1899712533987037, 24.0173983679434]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
gray_scott,correct,smooth,none,0.0,0.0,0.006716720428844644,"[-0.17383905981281209, 0.17293285966985739]",-0.6739328183816617,"[-18.878628690078102, 15.956785391840466]",0.9979166666666667,24,True,YELLOW,inconclusive at the prespecified threshold
gray_scott,coefficient,smooth,none,0.0,0.0,1.0790383916959738,"[0.8321132397735246, 1.356921686657179]",-194.18492837788796,"[-288.4218039229835, -129.81701969796612]",0.9979166666666667,24,True,RED,supported practical harm
