family,prior,split,baseline,horizon,mean_capped_mse,diverged_trajectories,capped_trajectories,trajectories
advection_diffusion,coefficient,test,persistence,64,1.9041640608216994,0,0,64
advection_diffusion,coefficient,test,mechanistic,64,0.5313244237183632,0,0,64
advection_diffusion,coefficient,ood,persistence,64,1.4053722400260824,0,0,64
advection_diffusion,coefficient,ood,mechanistic,64,0.5686829936930753,0,0,64
advection_diffusion,correct,test,persistence,64,1.9041640608216994,0,0,64
advection_diffusion,correct,test,mechanistic,64,2.266825511260489e-12,0,0,64
advection_diffusion,correct,ood,persistence,64,1.4053722400260824,0,0,64
advection_diffusion,correct,ood,mechanistic,64,1.6124238090315633e-12,0,0,64
allen_cahn,coefficient,test,persistence,64,0.036351599148498615,0,0,64
allen_cahn,coefficient,test,mechanistic,64,0.0047589258591633765,0,0,64
allen_cahn,coefficient,ood,persistence,64,0.022939436636376875,0,0,64
allen_cahn,coefficient,ood,mechanistic,64,0.0045151424073957,0,0,64
allen_cahn,correct,test,persistence,64,0.036351599148498615,0,0,64
allen_cahn,correct,test,mechanistic,64,2.3103475413200626e-12,0,0,64
allen_cahn,correct,ood,persistence,64,0.022939436636376875,0,0,64
allen_cahn,correct,ood,mechanistic,64,1.51318133840564e-11,0,0,64
burgers,coefficient,test,persistence,64,0.8117043097119208,0,0,64
burgers,coefficient,test,mechanistic,64,0.017123447088257304,0,0,64
burgers,coefficient,ood,persistence,64,0.8137521693437755,0,0,64
burgers,coefficient,ood,mechanistic,64,0.010053777077486337,0,0,64
burgers,correct,test,persistence,64,0.8117043097119208,0,0,64
burgers,correct,test,mechanistic,64,2.4338614891118654e-11,0,0,64
burgers,correct,ood,persistence,64,0.8137521693437755,0,0,64
burgers,correct,ood,mechanistic,64,9.585305980781706e-12,0,0,64
gray_scott,coefficient,test,persistence,64,2.036077323424337,0,0,64
gray_scott,coefficient,test,mechanistic,64,0.7340474576230349,0,0,64
gray_scott,coefficient,ood,persistence,64,0.3179615925723578,0,0,64
gray_scott,coefficient,ood,mechanistic,64,0.7143332629876973,0,0,64
gray_scott,correct,test,persistence,64,2.036077323424337,0,0,64
gray_scott,correct,test,mechanistic,64,1.9796401041082864e-11,0,0,64
gray_scott,correct,ood,persistence,64,0.3179615925723578,0,0,64
gray_scott,correct,ood,mechanistic,64,4.261032775467628e-12,0,0,64
ks,coefficient,test,persistence,64,1.049688953232721,0,0,64
ks,coefficient,test,mechanistic,64,0.5864891998136557,0,0,64
ks,coefficient,ood,persistence,64,1.2648281788780196,0,0,64
ks,coefficient,ood,mechanistic,64,0.7806522957038737,0,0,64
ks,correct,test,persistence,64,1.049688953232721,0,0,64
ks,correct,test,mechanistic,64,2.446661188769206e-07,0,0,64
ks,correct,ood,persistence,64,1.2648281788780196,0,0,64
ks,correct,ood,mechanistic,64,4.230233293450578e-06,0,0,64
wave,coefficient,test,persistence,64,1.6768549624499656,0,0,64
wave,coefficient,test,mechanistic,64,0.3973574188504543,0,0,64
wave,coefficient,ood,persistence,64,1.9645933161420999,0,0,64
wave,coefficient,ood,mechanistic,64,0.7427219720342464,0,0,64
wave,correct,test,persistence,64,1.6768549624499656,0,0,64
wave,correct,test,mechanistic,64,9.012607192846287e-11,0,0,64
wave,correct,ood,persistence,64,1.9645933161420999,0,0,64
wave,correct,ood,mechanistic,64,3.311938286009314e-09,0,0,64
