family,kind,prior,seed,split,policy,selected_arm,estimated_training_seconds,selected_inference_ms_per_step
advection_diffusion,fno,coefficient,101,development_lofo,always_smooth,smooth,43.44475720077753,1.2351800920441747
advection_diffusion,fno,coefficient,101,development_lofo,best_fixed,smooth,43.44475720077753,1.2351800920441747
advection_diffusion,fno,coefficient,101,development_lofo,hand_rule,none,25.841438968665898,1.2746815802529454
advection_diffusion,fno,coefficient,101,development_lofo,none,none,24.507666721008718,1.2746815802529454
advection_diffusion,fno,coefficient,101,development_lofo,probe_best,response_matched,51.15191630925983,1.3134910492226481
advection_diffusion,fno,coefficient,101,development_lofo,random,smooth,43.44475720077753,1.2351800920441747
advection_diffusion,fno,coefficient,101,development_lofo,ridge_selector,none,35.192779327277094,1.2746815802529454
advection_diffusion,fno,coefficient,101,development_lofo,full_validation,none,152.1190235861577,1.2746815802529454
advection_diffusion,fno,coefficient,202,development_lofo,always_smooth,smooth,44.194316597189754,1.24579556286335
advection_diffusion,fno,coefficient,202,development_lofo,best_fixed,smooth,44.194316597189754,1.24579556286335
advection_diffusion,fno,coefficient,202,development_lofo,hand_rule,none,26.041596240364015,1.2287385296076536
advection_diffusion,fno,coefficient,202,development_lofo,none,none,24.723616352304816,1.2287385296076536
advection_diffusion,fno,coefficient,202,development_lofo,probe_best,smooth,52.16877524415031,1.24579556286335
advection_diffusion,fno,coefficient,202,development_lofo,random,smooth,44.194316597189754,1.24579556286335
advection_diffusion,fno,coefficient,202,development_lofo,ridge_selector,none,35.182475885376334,1.2287385296076536
advection_diffusion,fno,coefficient,202,development_lofo,full_validation,none,151.6144375167787,1.2287385296076536
advection_diffusion,fno,coefficient,303,development_lofo,always_smooth,smooth,43.02241644822061,1.2372095603495836
advection_diffusion,fno,coefficient,303,development_lofo,best_fixed,smooth,43.02241644822061,1.2372095603495836
advection_diffusion,fno,coefficient,303,development_lofo,hand_rule,none,25.82615067763254,1.2451375368982553
advection_diffusion,fno,coefficient,303,development_lofo,none,none,24.49656440457329,1.2451375368982553
advection_diffusion,fno,coefficient,303,development_lofo,probe_best,none,35.32821079622954,1.2451375368982553
advection_diffusion,fno,coefficient,303,development_lofo,random,iid,43.38492634240538,1.2503645848482847
advection_diffusion,fno,coefficient,303,development_lofo,ridge_selector,none,35.32821079622954,1.2451375368982553
advection_diffusion,fno,coefficient,303,development_lofo,full_validation,none,152.1126623651944,1.2451375368982553
advection_diffusion,fno,coefficient,404,development_lofo,always_smooth,smooth,42.75780972884968,1.240657060407102
advection_diffusion,fno,coefficient,404,development_lofo,best_fixed,smooth,42.75780972884968,1.240657060407102
advection_diffusion,fno,coefficient,404,development_lofo,hand_rule,none,26.10888276202604,1.26594805624336
advection_diffusion,fno,coefficient,404,development_lofo,none,none,24.786300199106336,1.26594805624336
advection_diffusion,fno,coefficient,404,development_lofo,probe_best,none,35.29411894083023,1.26594805624336
advection_diffusion,fno,coefficient,404,development_lofo,random,iid,42.89430986950174,1.248279050923884
advection_diffusion,fno,coefficient,404,development_lofo,ridge_selector,none,35.29411894083023,1.26594805624336
advection_diffusion,fno,coefficient,404,development_lofo,full_validation,none,151.4436108977534,1.26594805624336
advection_diffusion,fno,coefficient,505,development_lofo,always_smooth,smooth,43.83210705174133,1.2880294350907207
advection_diffusion,fno,coefficient,505,development_lofo,best_fixed,smooth,43.83210705174133,1.2880294350907207
advection_diffusion,fno,coefficient,505,development_lofo,hand_rule,none,26.847806277684867,1.2418200494721532
advection_diffusion,fno,coefficient,505,development_lofo,none,none,25.519937972072512,1.2418200494721532
advection_diffusion,fno,coefficient,505,development_lofo,probe_best,smooth,51.909760122187436,1.2880294350907207
advection_diffusion,fno,coefficient,505,development_lofo,random,iid,43.683051565196365,1.2466285144910216
advection_diffusion,fno,coefficient,505,development_lofo,ridge_selector,none,36.05173471895978,1.2418200494721532
advection_diffusion,fno,coefficient,505,development_lofo,full_validation,none,154.4431493729353,1.2418200494721532
advection_diffusion,fno,coefficient,606,development_lofo,always_smooth,smooth,44.476216942537576,1.2471799505874515
advection_diffusion,fno,coefficient,606,development_lofo,best_fixed,smooth,44.476216942537576,1.2471799505874515
advection_diffusion,fno,coefficient,606,development_lofo,hand_rule,none,26.589557589031756,1.2356189545243979
advection_diffusion,fno,coefficient,606,development_lofo,none,none,25.257548548746854,1.2356189545243979
advection_diffusion,fno,coefficient,606,development_lofo,probe_best,response_matched,50.96702185785398,1.2641784502193332
advection_diffusion,fno,coefficient,606,development_lofo,random,iid,44.16096399072558,1.3124844525009394
advection_diffusion,fno,coefficient,606,development_lofo,ridge_selector,none,35.63048536935821,1.2356189545243979
advection_diffusion,fno,coefficient,606,development_lofo,full_validation,none,154.2920728493482,1.2356189545243979
advection_diffusion,fno,correct,101,development_lofo,always_smooth,smooth,43.44724116101861,1.2759300414472818
advection_diffusion,fno,correct,101,development_lofo,best_fixed,smooth,43.44724116101861,1.2759300414472818
advection_diffusion,fno,correct,101,development_lofo,hand_rule,none,26.94379270542413,1.2663861038163304
advection_diffusion,fno,correct,101,development_lofo,none,none,25.252017881255597,1.2663861038163304
advection_diffusion,fno,correct,101,development_lofo,probe_best,response_matched,51.47377708228305,1.2486995896324515
advection_diffusion,fno,correct,101,development_lofo,random,smooth,43.44724116101861,1.2759300414472818
advection_diffusion,fno,correct,101,development_lofo,ridge_selector,none,36.23863954236731,1.2663861038163304
