family,kind,prior,seed,policy,arm,checkpoint,split,horizon,mean_capped_mse,diverged_trajectories,trajectories,regret_log_ratio_to_test_oracle
advection_diffusion,fno,coefficient,101,always_smooth,smooth,validation_best,test,64,0.002624581142666234,0,64,1.6196374576456234
advection_diffusion,fno,coefficient,101,always_smooth,smooth,validation_best,ood,64,0.021068567734658372,0,64,
advection_diffusion,fno,coefficient,101,best_fixed,smooth,validation_best,test,64,0.002624581142666234,0,64,1.6196374576456234
advection_diffusion,fno,coefficient,101,best_fixed,smooth,validation_best,ood,64,0.021068567734658372,0,64,
advection_diffusion,fno,coefficient,101,hand_rule,none,validation_best,test,64,0.0005195895328422712,0,64,0.0
advection_diffusion,fno,coefficient,101,hand_rule,none,validation_best,ood,64,0.009124438275264657,0,64,
advection_diffusion,fno,coefficient,101,none,none,validation_best,test,64,0.0005195895328422712,0,64,0.0
advection_diffusion,fno,coefficient,101,none,none,validation_best,ood,64,0.009124438275264657,0,64,
advection_diffusion,fno,coefficient,101,probe_best,response_matched,validation_best,test,64,0.0006103626668265139,0,64,0.16101417633368412
advection_diffusion,fno,coefficient,101,probe_best,response_matched,validation_best,ood,64,0.09981267609959144,0,64,
advection_diffusion,fno,coefficient,101,random,smooth,validation_best,test,64,0.002624581142666234,0,64,1.6196374576456234
advection_diffusion,fno,coefficient,101,random,smooth,validation_best,ood,64,0.021068567734658372,0,64,
advection_diffusion,fno,coefficient,101,ridge_selector,none,validation_best,test,64,0.0005195895328422712,0,64,0.0
advection_diffusion,fno,coefficient,101,ridge_selector,none,validation_best,ood,64,0.009124438275264657,0,64,
advection_diffusion,fno,coefficient,101,full_validation,none,validation_best,test,64,0.0005195895328422712,0,64,0.0
advection_diffusion,fno,coefficient,101,full_validation,none,validation_best,ood,64,0.009124438275264657,0,64,
advection_diffusion,fno,coefficient,202,always_smooth,smooth,validation_best,test,64,0.0018379552624476492,0,64,1.6210198082333787
advection_diffusion,fno,coefficient,202,always_smooth,smooth,validation_best,ood,64,0.07853216634685145,0,64,
advection_diffusion,fno,coefficient,202,best_fixed,smooth,validation_best,test,64,0.0018379552624476492,0,64,1.6210198082333787
advection_diffusion,fno,coefficient,202,best_fixed,smooth,validation_best,ood,64,0.07853216634685145,0,64,
advection_diffusion,fno,coefficient,202,hand_rule,none,validation_best,test,64,0.0003633582107044073,0,64,0.0
advection_diffusion,fno,coefficient,202,hand_rule,none,validation_best,ood,64,0.05229153659471231,0,64,
advection_diffusion,fno,coefficient,202,none,none,validation_best,test,64,0.0003633582107044073,0,64,0.0
advection_diffusion,fno,coefficient,202,none,none,validation_best,ood,64,0.05229153659471231,0,64,
advection_diffusion,fno,coefficient,202,probe_best,smooth,validation_best,test,64,0.0018379552624476492,0,64,1.6210198082333787
advection_diffusion,fno,coefficient,202,probe_best,smooth,validation_best,ood,64,0.07853216634685145,0,64,
advection_diffusion,fno,coefficient,202,random,smooth,validation_best,test,64,0.0018379552624476492,0,64,1.6210198082333787
advection_diffusion,fno,coefficient,202,random,smooth,validation_best,ood,64,0.07853216634685145,0,64,
advection_diffusion,fno,coefficient,202,ridge_selector,none,validation_best,test,64,0.0003633582107044073,0,64,0.0
advection_diffusion,fno,coefficient,202,ridge_selector,none,validation_best,ood,64,0.05229153659471231,0,64,
advection_diffusion,fno,coefficient,202,full_validation,none,validation_best,test,64,0.0003633582107044073,0,64,0.0
advection_diffusion,fno,coefficient,202,full_validation,none,validation_best,ood,64,0.05229153659471231,0,64,
advection_diffusion,fno,coefficient,303,always_smooth,smooth,validation_best,test,64,0.003396697077440551,0,64,2.469818547378125
advection_diffusion,fno,coefficient,303,always_smooth,smooth,validation_best,ood,64,0.04370149071962115,0,64,
advection_diffusion,fno,coefficient,303,best_fixed,smooth,validation_best,test,64,0.003396697077440551,0,64,2.469818547378125
advection_diffusion,fno,coefficient,303,best_fixed,smooth,validation_best,ood,64,0.04370149071962115,0,64,
advection_diffusion,fno,coefficient,303,hand_rule,none,validation_best,test,64,0.0002873612810928936,0,64,0.0
advection_diffusion,fno,coefficient,303,hand_rule,none,validation_best,ood,64,0.07360327792043697,0,64,
advection_diffusion,fno,coefficient,303,none,none,validation_best,test,64,0.0002873612810928936,0,64,0.0
advection_diffusion,fno,coefficient,303,none,none,validation_best,ood,64,0.07360327792043697,0,64,
advection_diffusion,fno,coefficient,303,probe_best,none,validation_best,test,64,0.0002873612810928936,0,64,0.0
advection_diffusion,fno,coefficient,303,probe_best,none,validation_best,ood,64,0.07360327792043697,0,64,
advection_diffusion,fno,coefficient,303,random,iid,validation_best,test,64,0.006600227996502728,0,64,3.134119229089079
advection_diffusion,fno,coefficient,303,random,iid,validation_best,ood,64,0.021572911492263813,0,64,
advection_diffusion,fno,coefficient,303,ridge_selector,none,validation_best,test,64,0.0002873612810928936,0,64,0.0
advection_diffusion,fno,coefficient,303,ridge_selector,none,validation_best,ood,64,0.07360327792043697,0,64,
advection_diffusion,fno,coefficient,303,full_validation,none,validation_best,test,64,0.0002873612810928936,0,64,0.0
advection_diffusion,fno,coefficient,303,full_validation,none,validation_best,ood,64,0.07360327792043697,0,64,
advection_diffusion,fno,coefficient,404,always_smooth,smooth,validation_best,test,64,0.0030117569833060798,0,64,2.4484840160863057
advection_diffusion,fno,coefficient,404,always_smooth,smooth,validation_best,ood,64,0.007585606816043922,0,64,
advection_diffusion,fno,coefficient,404,best_fixed,smooth,validation_best,test,64,0.0030117569833060798,0,64,2.4484840160863057
advection_diffusion,fno,coefficient,404,best_fixed,smooth,validation_best,ood,64,0.007585606816043922,0,64,
advection_diffusion,fno,coefficient,404,hand_rule,none,validation_best,test,64,0.0002602896076625699,0,64,0.0
advection_diffusion,fno,coefficient,404,hand_rule,none,validation_best,ood,64,0.0888347086650505,0,64,
advection_diffusion,fno,coefficient,404,none,none,validation_best,test,64,0.0002602896076625699,0,64,0.0
advection_diffusion,fno,coefficient,404,none,none,validation_best,ood,64,0.0888347086650505,0,64,
advection_diffusion,fno,coefficient,404,probe_best,none,validation_best,test,64,0.0002602896076625699,0,64,0.0
advection_diffusion,fno,coefficient,404,probe_best,none,validation_best,ood,64,0.0888347086650505,0,64,
advection_diffusion,fno,coefficient,404,random,iid,validation_best,test,64,0.002100334330110587,0,64,2.0880569291093454
advection_diffusion,fno,coefficient,404,random,iid,validation_best,ood,64,0.04565139546217378,0,64,
advection_diffusion,fno,coefficient,404,ridge_selector,none,validation_best,test,64,0.0002602896076625699,0,64,0.0
advection_diffusion,fno,coefficient,404,ridge_selector,none,validation_best,ood,64,0.0888347086650505,0,64,
advection_diffusion,fno,coefficient,404,full_validation,none,validation_best,test,64,0.0002602896076625699,0,64,0.0
advection_diffusion,fno,coefficient,404,full_validation,none,validation_best,ood,64,0.0888347086650505,0,64,
advection_diffusion,fno,coefficient,505,always_smooth,smooth,validation_best,test,64,0.0026389416839400354,0,64,2.2528144723654258
advection_diffusion,fno,coefficient,505,always_smooth,smooth,validation_best,ood,64,0.01861019994474683,0,64,
advection_diffusion,fno,coefficient,505,best_fixed,smooth,validation_best,test,64,0.0026389416839400354,0,64,2.2528144723654258
advection_diffusion,fno,coefficient,505,best_fixed,smooth,validation_best,ood,64,0.01861019994474683,0,64,
advection_diffusion,fno,coefficient,505,hand_rule,none,validation_best,test,64,0.0002773606836174447,0,64,0.0
advection_diffusion,fno,coefficient,505,hand_rule,none,validation_best,ood,64,0.026100815694939494,0,64,
advection_diffusion,fno,coefficient,505,none,none,validation_best,test,64,0.0002773606836174447,0,64,0.0
advection_diffusion,fno,coefficient,505,none,none,validation_best,ood,64,0.026100815694939494,0,64,
advection_diffusion,fno,coefficient,505,probe_best,smooth,validation_best,test,64,0.0026389416839400354,0,64,2.2528144723654258
advection_diffusion,fno,coefficient,505,probe_best,smooth,validation_best,ood,64,0.01861019994474683,0,64,
advection_diffusion,fno,coefficient,505,random,iid,validation_best,test,64,0.0020426612235107527,0,64,1.9966899919117906
advection_diffusion,fno,coefficient,505,random,iid,validation_best,ood,64,0.01689242402942004,0,64,
advection_diffusion,fno,coefficient,505,ridge_selector,none,validation_best,test,64,0.0002773606836174447,0,64,0.0
advection_diffusion,fno,coefficient,505,ridge_selector,none,validation_best,ood,64,0.026100815694939494,0,64,
advection_diffusion,fno,coefficient,505,full_validation,none,validation_best,test,64,0.0002773606836174447,0,64,0.0
advection_diffusion,fno,coefficient,505,full_validation,none,validation_best,ood,64,0.026100815694939494,0,64,
advection_diffusion,fno,coefficient,606,always_smooth,smooth,validation_best,test,64,0.002364811293705943,0,64,2.018971061698409
advection_diffusion,fno,coefficient,606,always_smooth,smooth,validation_best,ood,64,0.0550112412817203,0,64,
advection_diffusion,fno,coefficient,606,best_fixed,smooth,validation_best,test,64,0.002364811293705943,0,64,2.018971061698409
advection_diffusion,fno,coefficient,606,best_fixed,smooth,validation_best,ood,64,0.0550112412817203,0,64,
advection_diffusion,fno,coefficient,606,hand_rule,none,validation_best,test,64,0.0003140280913474097,0,64,0.0
advection_diffusion,fno,coefficient,606,hand_rule,none,validation_best,ood,64,0.048390405516788304,0,64,
advection_diffusion,fno,coefficient,606,none,none,validation_best,test,64,0.0003140280913474097,0,64,0.0
advection_diffusion,fno,coefficient,606,none,none,validation_best,ood,64,0.048390405516788304,0,64,
advection_diffusion,fno,coefficient,606,probe_best,response_matched,validation_best,test,64,0.001523865489118828,0,64,1.5795230258191875
advection_diffusion,fno,coefficient,606,probe_best,response_matched,validation_best,ood,64,0.03076035702883395,0,64,
advection_diffusion,fno,coefficient,606,random,iid,validation_best,test,64,0.016103377007226444,0,64,3.9373018361796714
advection_diffusion,fno,coefficient,606,random,iid,validation_best,ood,64,0.1579569402640284,0,64,
advection_diffusion,fno,coefficient,606,ridge_selector,none,validation_best,test,64,0.0003140280913474097,0,64,0.0
advection_diffusion,fno,coefficient,606,ridge_selector,none,validation_best,ood,64,0.048390405516788304,0,64,
advection_diffusion,fno,coefficient,606,full_validation,none,validation_best,test,64,0.0003140280913474097,0,64,0.0
advection_diffusion,fno,coefficient,606,full_validation,none,validation_best,ood,64,0.048390405516788304,0,64,
advection_diffusion,fno,correct,101,always_smooth,smooth,validation_best,test,64,8.020147330900507e-05,0,64,0.0
advection_diffusion,fno,correct,101,always_smooth,smooth,validation_best,ood,64,0.019737438550866515,0,64,
